Species,Common_Name,Year,Tails_Collected ,Estimated_Herbivory_Damage_acres
Myocastor_coypus,Nutria,2003,"332,596",16906
Myocastor_coypus,Nutria,2004,"297,535",53475
Myocastor_coypus,Nutria,2005,"168,843",46181
Myocastor_coypus,Nutria,2006,375683,34665
Myocastor_coypus,Nutria,2007,308212,23141
Myocastor_coypus,Nutria,2008,334038,20332
Myocastor_coypus,Nutria,2009,445963,8475
Myocastor_coypus,Nutria,2010,338512,6296
Myocastor_coypus,Nutria,2011,354354,4234
Myocastor_coypus,Nutria,2012,388160,4624
Myocastor_coypus,Nutria,2013,388264,4181
Myocastor_coypus,Nutria,2014,341708,6008
Myocastor_coypus,Nutria,2015,348235,6496
Myocastor_coypus,Nutria,2016,216052,5866