Year,Species,Metric Tons,Pounds,Dollars
1962,Brown Shrimp,5913.4,13036627,4563398
1963,Brown Shrimp,12328.7,27179843,6203225
1964,Brown Shrimp,7312,16120139,4116750
1965,Brown Shrimp,13069.6,28813346,7909744
1966,Brown Shrimp,13727.6,30263827,10576469
1967,Brown Shrimp,21785.1,48027532,12614798
1968,Brown Shrimp,18973.1,41828149,12837532
1969,Brown Shrimp,17668.7,38952379,12515225
1970,Brown Shrimp,19695.7,43421103,13760117
1971,Brown Shrimp,21443,47273322,16995294
1978,Brown Shrimp,25376.5,55945092,35822179
1979,Brown Shrimp,19751.5,43544237,53660411
1980,Brown Shrimp,15606,34404993,37306950
1981,Brown Shrimp,26033.3,57392972,50267849
1982,Brown Shrimp,23005.6,50718109,63930889
1983,Brown Shrimp,18110,39925384,55510427
1984,Brown Shrimp,24647.5,54337801,58093040
1985,Brown Shrimp,25378,55948367,46563483
1986,Brown Shrimp,28468.1,62760689,68818756
1987,Brown Shrimp,26443,58296288,78688116
1988,Brown Shrimp,23799.2,52467622,68936672
1989,Brown Shrimp,25030.1,55181298,64985876
1990,Brown Shrimp,32487.9,71622853,71039376
1991,Brown Shrimp,19932,43942110,53040606
1992,Brown Shrimp,18257.9,40251413,57721719
1993,Brown Shrimp,18417.5,40603125,43931558
1994,Brown Shrimp,16131,35562392,57171391
1995,Brown Shrimp,20422.6,45023769,61201539
1996,Brown Shrimp,23324,51420083,61837922
1997,Brown Shrimp,19566.9,43137080,67213611
1998,Brown Shrimp,22743.7,50140696,54985093
1999,Brown Shrimp,26538.4,58506585,63132470
2000,Brown Shrimp,28175.4,62115420,96514340
2001,Brown Shrimp,28714,63302987,90520847
2002,Brown Shrimp,24231.3,53420402,61280654
2003,Brown Shrimp,26583.1,58605029,51964591
2004,Brown Shrimp,25013.7,55145295,40413287
2005,Brown Shrimp,17663.2,38940349,41101637
2006,Brown Shrimp,21775.7,48006642,38831190
2007,Brown Shrimp,20469.8,45127747,43815591
2008,Brown Shrimp,11304.4,24921659,22693702
2009,Brown Shrimp,15091.7,33271170,25559523
2010,Brown Shrimp,7830.4,17262865,22071570
2011,Brown Shrimp,17813.8,39272274,34680125
2012,Brown Shrimp,13186.1,29070079,33161874
2013,Brown Shrimp,18234.6,40200043,52008251
2014,Brown Shrimp,19957.3,43997826,88616097
2015,Brown Shrimp,13819.3,30466110,27762038
2016,Brown Shrimp,10833.1,23882609,18935545
1962,Seabob Shrimp,1291.9,2848229,377350
1963,Seabob Shrimp,478.6,1055078,63294
1964,Seabob Shrimp,194.9,429569,63517
1965,Seabob Shrimp,392.9,866295,109471
1966,Seabob Shrimp,288,634918,101345
1967,Seabob Shrimp,126.2,278258,40840
1968,Seabob Shrimp,364.9,804511,102833
1969,Seabob Shrimp,300.1,661621,85060
1970,Seabob Shrimp,1476.2,3254403,297657
1971,Seabob Shrimp,185.4,408718,45635
1978,Seabob Shrimp,1717.8,3787160,1097244
1979,Seabob Shrimp,2662.8,5870495,3691626
1980,Seabob Shrimp,4513.8,9951200,13422477
1981,Seabob Shrimp,2840.4,6261837,2747712
1982,Seabob Shrimp,1642.9,3621978,2053712
1983,Seabob Shrimp,2144.3,4727355,2119563
1984,Seabob Shrimp,2930.7,6460973,2612710
1985,Seabob Shrimp,3053.2,6731191,2510737
1986,Seabob Shrimp,5763.8,12706958,5138825
1987,Seabob Shrimp,2908,6411008,3272893
1988,Seabob Shrimp,1977.1,4358700,2313485
1989,Seabob Shrimp,2130.4,4696580,1960618
1990,Seabob Shrimp,1409.5,3107329,1272545
1991,Seabob Shrimp,2176.2,4797705,1959461
1992,Seabob Shrimp,4747.8,10466942,4215009
1993,Seabob Shrimp,4334.6,9555957,3009105
1994,Seabob Shrimp,3471.5,7653303,3299314
1995,Seabob Shrimp,1069.9,2358762,1411592
1996,Seabob Shrimp,4235,9336511,5278459
1997,Seabob Shrimp,5063.7,11163328,4917009
1998,Seabob Shrimp,3407.6,7512503,2961058
1999,Seabob Shrimp,3282.7,7237073,3005337
2000,Seabob Shrimp,3248.4,7161495,3946590
2001,Seabob Shrimp,3505.8,7728805,3645365
2002,Seabob Shrimp,3175.6,7000965,2563628
2003,Seabob Shrimp,1411.8,3112376,908691
2004,Seabob Shrimp,1570.9,3463226,1060150
2005,Seabob Shrimp,963.6,2124251,756182
2006,Seabob Shrimp,430.7,949526,386588
2007,Seabob Shrimp,560.9,1236452,463888
2008,Seabob Shrimp,561.3,1237457,484528
2009,Seabob Shrimp,234.4,516659,191720
2010,Seabob Shrimp,453.7,1000315,356916
2011,Seabob Shrimp,142,313138,136965
2012,Seabob Shrimp,555,1223514,489765
2013,Seabob Shrimp,893.9,1970670,1260487
2014,Seabob Shrimp,1062.9,2343319,1284684
2015,Seabob Shrimp,494.1,1089250,634685
2016,Seabob Shrimp,720.9,1589333,904062
1962,White Shrimp,9782.3,21565973,8369799
1963,White Shrimp,23821.9,52517829,13502713
1964,White Shrimp,19419.7,42812721,14600735
1965,White Shrimp,14765.5,32552111,11502380
1966,White Shrimp,13821,30469835,13468010
1967,White Shrimp,10895.6,24020532,11122098
1968,White Shrimp,11368.5,25063077,12635308
1969,White Shrimp,19468.7,42920647,20576618
1970,White Shrimp,19979.6,44046976,20469877
1971,White Shrimp,20239.2,44619335,26154963
1978,White Shrimp,20302.4,44758597,63888458
1979,White Shrimp,13162.3,29017574,65304036
1980,White Shrimp,20750.3,45746215,70250469
1981,White Shrimp,22020.8,48546994,83245661
1982,White Shrimp,16375.6,36101722,77497420
1983,White Shrimp,14969.1,33000783,74617603
1984,White Shrimp,20808.7,45874767,82349897
1985,White Shrimp,24417,53829621,85992920
1986,White Shrimp,32450.6,71540547,132634718
1987,White Shrimp,24046,53011888,102226379
1988,White Shrimp,20695.3,45624881,78177451
1989,White Shrimp,18226.1,40181325,63107789
1990,White Shrimp,20272.6,44692880,80627757
1991,White Shrimp,21022.6,46346466,86457426
1992,White Shrimp,21240.9,46827690,82801494
1993,White Shrimp,16984.9,37445002,66905325
1994,White Shrimp,21208.3,46755748,96610742
1995,White Shrimp,23021.3,50752831,104361998
1996,White Shrimp,13321.7,29368912,60464626
1997,White Shrimp,16442.6,36249347,76359872
1998,White Shrimp,24005.4,52922374,100524635
1999,White Shrimp,25055.2,55236737,105315024
2000,White Shrimp,34411.8,75864291,152374346
2001,White Shrimp,24334.8,53648584,93715169
2002,White Shrimp,21430.5,47245582,77272332
2003,White Shrimp,28990.7,63912851,82069068
2004,White Shrimp,33894.9,74724642,96955824
2005,White Shrimp,27888.6,61483211,91249707
2006,White Shrimp,40309.3,88865876,108414904
2007,White Shrimp,29246.3,64476408,95533601
2008,White Shrimp,28620.2,63095993,107430070
2009,White Shrimp,36024.2,79418940,94445211
2010,White Shrimp,25959.3,57229951,84729789
2011,White Shrimp,23973.4,52851724,98703675
2012,White Shrimp,32239.7,71075751,112483010
2013,White Shrimp,26059,57449615,128818866
2014,White Shrimp,31563.2,69584203,148516188
2015,White Shrimp,27135.3,59822467,85199805
2016,White Shrimp,32669.3,72022787,117738392
