svg,svg_id,label,modal_before,modal_after
saltmarsh_ecotone,bird_diversity,Bird Diversity (biodiversity),NA,NA
saltmarsh_ecotone,rosseate_spoonbill,Rosseate Spoonbill (focal species),NA,NA
saltmarsh_ecotone,seaside_sparrow,Seaside Sparrow (Indicator species),NA,NA
saltmarsh_ecotone,blue_crabs,Blue Crabs (focal species),NA,NA
saltmarsh_ecotone,shrimp,Shrimp (focal species),NA,NA
saltmarsh_ecotone,smooth_cordgrass,Salt Marsh Vegetation (foundation species),NA,NA
saltmarsh_ecotone,phragmites,Phragmites (invasive species),NA,NA
saltmarsh_ecotone,black_mangroves,Black Mangroves (invasive species),NA,NA
saltmarsh_ecotone,diamondback_terrapin,Diamondback Terrapin (focal),NA,NA
saltmarsh_ecotone,oyster_reef,Oyster Reefs (keystone species),NA,NA
saltmarsh_ecotone,red_snapper,Snappers (focal species),NA,NA
saltmarsh_ecotone,red_drum,Drums (focal species),NA,NA
saltmarsh_ecotone,nutria,Nutria (invasive species),NA,NA
saltmarsh_ecotone,bottlenose_dolphin,Bottlenose Dolphin (focal species),NA,NA
saltmarsh_ecotone,muskrat,Muskrat,NA,NA
saltmarsh_ecotone,fiddler_crabs,Fiddler Crabs,NA,NA
saltmarsh_ecotone,periwinkle_snails,Periwinkle Snals,NA,NA
saltmarsh_ecotone,ribbed_mussle,Ribbed Mussle (foundation species),NA,NA